item_id,rule,operating_mode,location,description,label,note
A040,SM-5,collaborative,line:43,Hardcoded speed 1.5 exceeds collaborative limit 0.25 m/s,FP,"Flagged line is movej; v=1.5 is joint speed (rad/s), not TCP speed."
A041,SM-5,hybrid,line:18,Hardcoded speed 1.05 exceeds collaborative limit 0.25 m/s,TP,"Hybrid task, movel v=1.05 m/s."
A042,SM-6,fenced,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,No set_tcp() anywhere in program.
A043,SM-2,hybrid,line:41,Critical operation at line 41 without nearby error handling.,FP,"Flagged 'critical operation' is set_tcp(); configuration call, no failure path."
A044,SM-1,fenced,line:31,movej() without explicit speed parameter (v=). Robot default may exceed safe limits.,TP,"robot.movej(target, speed): single positional arg; under URScript positional order this is a=, so v is left to default (pseudo-API)."
A045,SM-6,hybrid,line:16,No set_tcp() call before first motion command. Tool center point is undefined.,FP,"set_tool_frame(p[0,0,0,0,0,0]) at line 2 defines the tool frame before the first motion (non-URScript name, but TCP is explicitly set). set_payload also present."
A046,SM-6,fenced,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,No set_tcp() anywhere in (truncated) program.
A047,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check.
A048,SM-5,fenced,line:24,Hardcoded speed 1.2 exceeds collaborative limit 0.25 m/s,FP,Fenced task (stated in code comment); collaborative limit not applicable.
A049,SM-2,hybrid,line:45,Critical operation at line 45 without nearby error handling.,FP,"Flagged 'critical operation' is set_tcp(); configuration call, no failure path."
A050,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,A safety_zone variable is passed around but never checked.
A051,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check.
A052,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check (truncated program).
A053,SM-2,collaborative,line:2,Critical operation at line 2 without nearby error handling.,FP,Flagged line is set_payload() (configuration call); program has popup+halt in safety_check() and a try/except with popup+halt.
A054,SM-5,fenced,line:24,Hardcoded speed 60.0 exceeds collaborative limit 0.25 m/s,FP,Fenced task; collaborative limit not applicable.
A055,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",FP,safety_check() with a minimum-Z boundary test + popup/halt before every move; minimal but present.
A056,SM-6,fenced,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,No set_tcp() anywhere in (truncated) program.
A057,SM-6,fenced,line:10,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",FP,set_tool_payload(0.6) at line 2 sets the payload before any motion (alternative name for set_payload).
A058,SM-6,fenced,line:31,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,"Program only checks robot.payload == 0.5, never sets it; no set_payload/equivalent (pseudo-API)."
A059,SM-6,fenced,line:25,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"No set_tcp(); set_tool_position(home_position) at line 21 is a positioning call, not a TCP definition."
A060,SM-1,collaborative,line:20,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,Line has both a=1.2 and v=1.0. Rule misparsed the nested wp_lift_above_pick() call.
A061,SM-5,hybrid,line:36,Hardcoded speed 1.0 exceeds collaborative limit 0.25 m/s,TP,Hybrid task; flagged movel v=1.0 m/s is in the handoff zone after normal() (human-accessible).
A062,SM-2,hybrid,line:2,Critical operation at line 2 without nearby error handling.,FP,"Flagged 'critical operation' is set_payload(); configuration call, no failure path."
A063,SM-5,hybrid,line:9,Hardcoded speed 0.6 exceeds collaborative limit 0.25 m/s,TP,"Hybrid task, movel v=0.6 m/s."
A064,SM-1,collaborative,line:24,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,TP,"Only one numeric arg (fast_speed) after the pose; under URScript positional order it is a=, so v is left to default. Same line as A026/A079 - one of a/v is definitely defaulted."
A065,SM-1,collaborative,line:27,movej() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,Line has both a=1.4 and v=1.2. Rule misparsed the nested get_inverse_kin() call.
A066,SM-5,hybrid,line:51,Hardcoded speed 60.0 exceeds collaborative limit 0.25 m/s,TP,"Hybrid task, movel v=60 (>0.25 as written; program is unit-confused)."
A067,SM-6,collaborative,line:10,No set_tcp() call before first motion command. Tool center point is undefined.,TP,No set_tcp() anywhere in program.
A068,SM-5,collaborative,line:15,Hardcoded speed 1.15 exceeds collaborative limit 0.25 m/s,TP,"Collaborative task, movel v=1.15 m/s."
A069,SM-5,collaborative,line:31,Hardcoded speed 0.5 exceeds collaborative limit 0.25 m/s,TP,"Collaborative task, movel v=0.5 m/s (comment says 50 mm/s but code says 0.5 m/s; code is what runs)."
A070,SM-6,fenced,line:3,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,No set_payload() anywhere in (truncated) program.
A071,SM-2,fenced,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",FP,"Program has an out-of-bounds check with print+exit() (non-URScript, but error-handling intent is present); rule keyword list does not cover it."
A072,SM-2,hybrid,line:25,Critical operation at line 25 without nearby error handling.,FP,"Flagged 'critical operation' is set_tcp(); configuration call, no failure path."
A073,SM-2,hybrid,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,No error handling of any kind in program.
A074,SM-2,fenced,line:2,Critical operation at line 2 without nearby error handling.,FP,"Flagged 'critical operation' is set_payload(); configuration call, no failure path."
A075,SM-6,collaborative,line:20,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,No set_payload() anywhere in program.
A076,SM-1,collaborative,line:27,movej() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,FP,Line has both a=1.4 and v=1.2. Rule misparsed the nested get_inverse_kin() call.
A077,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check (truncated program).
A078,SM-5,hybrid,line:6,Hardcoded speed 0.75 exceeds collaborative limit 0.25 m/s,TP,"Hybrid task, movel v=0.75 m/s."
A079,SM-1,collaborative,line:33,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,TP,"Only one numeric arg (fast_speed) after the pose; author treats it as speed, so acceleration is left to default."
A080,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",FP,safety_check() with a minimum-Z boundary test + popup/halt before every move; minimal but present.
A081,SM-2,fenced,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,No error handling of any kind in (truncated) program.
A082,SM-2,hybrid,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,No error handling of any kind in program.
A083,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check.
A084,SM-1,collaborative,line:48,movej() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,Both SPEEDS[i] and ACCELERATIONS[i] passed positionally.
A085,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check.
A086,SM-1,collaborative,line:27,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,TP,"movel([wp], [speed]): single (list-wrapped) arg; under positional order it is a=, so v defaults. Pseudo-code."
A087,SM-5,fenced,line:14,Hardcoded speed 0.3 exceeds collaborative limit 0.25 m/s,FP,Fenced task; collaborative limit not applicable.
A088,SM-2,hybrid,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,No error handling of any kind in program.
A089,SM-2,collaborative,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,No error handling of any kind in program.
A090,SM-1,hybrid,line:33,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,TP,"movel(..., v=tcp_speed) with no acceleration given; default a used."
A091,SM-6,hybrid,line:27,No set_tcp() call before first motion command. Tool center point is undefined.,TP,set_payload present but no set_tcp() anywhere.
A092,SM-5,hybrid,line:28,Hardcoded speed 300.0 exceeds collaborative limit 0.25 m/s,FP,"Flagged line is movej; v=300 is joint speed (rad/s), not TCP speed (value is absurd, but not the claimed weakness)."
A093,SM-1,hybrid,line:42,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"Flagged line is a Python f-string that generates 'movel(pose, speed, 0.5, zone)': both a and v positional in the generated text; not an executed URScript line."
A094,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check.
A095,SM-5,hybrid,line:35,Hardcoded speed 1.5 exceeds collaborative limit 0.25 m/s,TP,"Hybrid task, movel v=1.5 m/s on pallet transit."
A096,SM-1,hybrid,line:20,movej() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,FP,"a, v, t passed positionally (linear_speeds[1], 250.0, 3)."
A097,SM-2,fenced,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,No error handling of any kind in program.
A098,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check (truncated program).
A099,SM-6,collaborative,line:4,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,No set_payload() anywhere in program.
A100,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",FP,safety_check() with radius-based workspace test + popup/halt before every move.
