item_id,rule,operating_mode,location,description,label,note
A025,SM-1,hybrid,line:42,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A026,SM-1,collaborative,line:24,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,TP,"A=TP, B=TP; agreed"
A027,SM-5,hybrid,line:87,Hardcoded speed 200.0 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=TP; agreed"
A028,SM-1,hybrid,line:30,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,TP,"A=TP, B=TP; agreed"
A029,SM-5,hybrid,line:14,Hardcoded acceleration 3.6 rad/s² exceeds limit 2.5 rad/s²,TP,"A=TP, B=TP; agreed"
A030,SM-6,collaborative,line:37,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A031,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",FP,"A=FP, B=FP; agreed"
A032,SM-2,hybrid,line:4,Critical operation at line 4 without nearby error handling.,TP,"A=TP, B=FP; adjudicated TP: guide SM-2: the if/elif branches key on a loop index, not on a check result, and the popups are informational (no error=True); no handling anywhere. B's objection as for the other set_payload items."
A033,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A034,SM-5,fenced,line:15,Hardcoded speed 0.8 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=FP; adjudicated TP: guide SM-5 (amended): fenced cap 0.50 m/s; movel literal v= exceeds it. B labelled FP because the description quotes the collaborative 0.25 figure, which the amended guide says to ignore."
A035,SM-1,hybrid,line:27,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A036,SM-6,hybrid,line:4,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,"A=TP, B=TP; agreed"
A037,SM-1,hybrid,line:18,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,TP,"A=TP, B=TP; agreed"
A038,SM-6,fenced,line:3,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,"A=TP, B=TP; agreed"
A039,SM-1,hybrid,line:3,movej() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,TP,"A=TP, B=TP; agreed"
A040,SM-5,collaborative,line:43,Hardcoded speed 1.5 exceeds collaborative limit 0.25 m/s,FP,"A=FP, B=FP; agreed"
A041,SM-5,hybrid,line:18,Hardcoded speed 1.05 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=TP; agreed"
A042,SM-6,fenced,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A043,SM-2,hybrid,line:41,Critical operation at line 41 without nearby error handling.,TP,"A=TP, B=FP; adjudicated TP: guide SM-2: program-level criterion; no condition on a check result, no stop path, no popup(error=True) anywhere in the snippet. B objects that the flagged call (set_tcp/set_payload) is configuration, not a critical operation; that concerns the rule's wording of its claim, recorded as a design defect, not a labelling error."
A044,SM-1,fenced,line:31,movej() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"A=FP, B=TP; adjudicated FP: guide SM-1: a speed argument is passed positionally (robot.movej(target, speed)); guide counts positional arguments as present. B notes that in URScript positional order the slot is a=, not v=; the call is not URScript syntax, so the intent (a speed) governs."
A045,SM-6,hybrid,line:16,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=FP; adjudicated TP: guide SM-6: no set_tcp before the first motion; set_tool_frame() is not a URScript function, so the TCP is undeclared on a real controller."
A046,SM-6,fenced,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A047,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A048,SM-5,fenced,line:24,Hardcoded speed 1.2 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=FP; adjudicated TP: guide SM-5 (amended): fenced cap 0.50 m/s; movel literal v= exceeds it. B labelled FP because the description quotes the collaborative 0.25 figure, which the amended guide says to ignore."
A049,SM-2,hybrid,line:45,Critical operation at line 45 without nearby error handling.,TP,"A=TP, B=FP; adjudicated TP: guide SM-2: program-level criterion; no condition on a check result, no stop path, no popup(error=True) anywhere in the snippet. B objects that the flagged call (set_tcp/set_payload) is configuration, not a critical operation; that concerns the rule's wording of its claim, recorded as a design defect, not a labelling error."
A050,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A051,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A052,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A053,SM-2,collaborative,line:2,Critical operation at line 2 without nearby error handling.,FP,"A=FP, B=FP; agreed"
A054,SM-5,fenced,line:24,Hardcoded speed 60.0 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=FP; adjudicated TP: guide SM-5 (amended): fenced cap 0.50 m/s; movel literal v= exceeds it. B labelled FP because the description quotes the collaborative 0.25 figure, which the amended guide says to ignore."
A055,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",FP,"A=FP, B=FP; agreed"
A056,SM-6,fenced,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A057,SM-6,fenced,line:10,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,"A=TP, B=FP; adjudicated TP: guide SM-6: no set_payload before the first motion; set_tool_payload() is not a URScript function, so the payload is undeclared on a real controller."
A058,SM-6,fenced,line:31,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,"A=TP, B=TP; agreed"
A059,SM-6,fenced,line:25,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A060,SM-1,collaborative,line:20,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A061,SM-5,hybrid,line:36,Hardcoded speed 1.0 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=TP; agreed"
A062,SM-2,hybrid,line:2,Critical operation at line 2 without nearby error handling.,TP,"A=TP, B=FP; adjudicated TP: guide SM-2: program-level criterion; no condition on a check result, no stop path, no popup(error=True) anywhere in the snippet. B objects that the flagged call (set_tcp/set_payload) is configuration, not a critical operation; that concerns the rule's wording of its claim, recorded as a design defect, not a labelling error."
A063,SM-5,hybrid,line:9,Hardcoded speed 0.6 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=TP; agreed"
A064,SM-1,collaborative,line:24,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"A=FP, B=TP; adjudicated FP: guide SM-1: speed passed positionally as the variable fast_speed; guide counts positional arguments as present. B's URScript positional-order reading recorded."
A065,SM-1,collaborative,line:27,movej() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A066,SM-5,hybrid,line:51,Hardcoded speed 60.0 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=TP; agreed"
A067,SM-6,collaborative,line:10,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A068,SM-5,collaborative,line:15,Hardcoded speed 1.15 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=TP; agreed"
A069,SM-5,collaborative,line:31,Hardcoded speed 0.5 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=TP; agreed"
A070,SM-6,fenced,line:3,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,"A=TP, B=TP; agreed"
A071,SM-2,fenced,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",FP,"A=FP, B=FP; agreed"
A072,SM-2,hybrid,line:25,Critical operation at line 25 without nearby error handling.,TP,"A=TP, B=FP; adjudicated TP: guide SM-2: program-level criterion; no condition on a check result, no stop path, no popup(error=True) anywhere in the snippet. B objects that the flagged call (set_tcp/set_payload) is configuration, not a critical operation; that concerns the rule's wording of its claim, recorded as a design defect, not a labelling error."
A073,SM-2,hybrid,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,"A=TP, B=TP; agreed"
A074,SM-2,fenced,line:2,Critical operation at line 2 without nearby error handling.,TP,"A=TP, B=FP; adjudicated TP: guide SM-2: program-level criterion; no condition on a check result, no stop path, no popup(error=True) anywhere in the snippet. B objects that the flagged call (set_tcp/set_payload) is configuration, not a critical operation; that concerns the rule's wording of its claim, recorded as a design defect, not a labelling error."
A075,SM-6,collaborative,line:20,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,"A=TP, B=TP; agreed"
A076,SM-1,collaborative,line:27,movej() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A077,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A078,SM-5,hybrid,line:6,Hardcoded speed 0.75 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=TP; agreed"
A079,SM-1,collaborative,line:33,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,TP,"A=TP, B=TP; agreed"
A080,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",FP,"A=FP, B=FP; agreed"
A081,SM-2,fenced,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,"A=TP, B=TP; agreed"
A082,SM-2,hybrid,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,"A=TP, B=TP; agreed"
A083,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A084,SM-1,collaborative,line:48,movej() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A085,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A086,SM-1,collaborative,line:27,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"A=FP, B=TP; adjudicated FP: guide SM-1: speed passed positionally as speeds[3]; guide counts positional arguments as present. B's URScript positional-order reading recorded."
A087,SM-5,fenced,line:14,Hardcoded speed 0.3 exceeds collaborative limit 0.25 m/s,FP,"A=FP, B=FP; agreed"
A088,SM-2,hybrid,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,"A=TP, B=TP; agreed"
A089,SM-2,collaborative,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,"A=TP, B=TP; agreed"
A090,SM-1,hybrid,line:33,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,TP,"A=TP, B=TP; agreed"
A091,SM-6,hybrid,line:27,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A092,SM-5,hybrid,line:28,Hardcoded speed 300.0 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=FP; adjudicated TP: guide SM-5: movej v=300 read as rad/s is far above the ~3 rad/s excess threshold; TP under either unit reading."
A093,SM-1,hybrid,line:42,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A094,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A095,SM-5,hybrid,line:35,Hardcoded speed 1.5 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=TP; agreed"
A096,SM-1,hybrid,line:20,movej() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A097,SM-2,fenced,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,"A=TP, B=TP; agreed"
A098,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A099,SM-6,collaborative,line:4,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,"A=TP, B=TP; agreed"
A100,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",FP,"A=FP, B=FP; agreed"
