model,condition,task_id,n_reps,text_identical,status_identical,binary_identical,count_identical,rules_identical,count_sd,count_range
deepseek-coder-v2:16b,baseline,T005,3,0,1,1,1,1,0.0,0
deepseek-coder-v2:16b,baseline,T006,3,0,0,0,0,0,4.714045207910316,10
deepseek-coder-v2:16b,baseline,T007,3,0,0,0,0,0,0.9428090415820634,2
deepseek-coder-v2:16b,baseline,T008,3,0,0,0,0,0,3.7712361663282534,8
deepseek-coder-v2:16b,baseline,T009,3,0,0,1,1,1,0.0,0
deepseek-coder-v2:16b,baseline,T010,3,0,0,0,0,0,13.199326582148888,28
deepseek-coder-v2:16b,baseline,T011,3,0,1,1,0,0,5.656854249492381,12
deepseek-coder-v2:16b,baseline,T012,3,0,0,1,1,1,0.0,0
deepseek-coder-v2:16b,baseline,T013,3,0,1,1,1,1,0.0,0
deepseek-coder-v2:16b,baseline,T014,3,0,1,1,0,1,1.8856180831641267,4
deepseek-coder-v2:16b,baseline,T015,3,0,0,0,0,0,2.8284271247461903,6
deepseek-coder-v2:16b,safety,T001,3,0,1,1,1,1,0.0,0
deepseek-coder-v2:16b,safety,T002,3,0,1,1,0,0,1.8856180831641267,4
deepseek-coder-v2:16b,safety,T003,3,0,1,1,0,0,2.3570226039551585,5
deepseek-coder-v2:16b,safety,T004,3,0,1,1,1,1,0.0,0
deepseek-coder-v2:16b,safety,T005,3,0,1,1,0,0,5.185449728701348,11
deepseek-coder-v2:16b,safety,T006,3,0,1,1,0,0,2.357022603955158,5
deepseek-coder-v2:16b,safety,T007,3,0,1,1,0,0,1.8856180831641267,4
deepseek-coder-v2:16b,safety,T008,3,0,1,1,0,1,0.4714045207910317,1
deepseek-coder-v2:16b,safety,T009,3,0,1,1,0,0,1.8856180831641267,4
deepseek-coder-v2:16b,safety,T010,3,0,1,1,1,1,0.0,0
deepseek-coder-v2:16b,safety,T011,3,0,1,1,1,1,0.0,0
deepseek-coder-v2:16b,safety,T012,3,0,0,0,0,0,3.2998316455372216,7
deepseek-coder-v2:16b,safety,T013,3,0,0,0,0,0,1.8856180831641267,4
deepseek-coder-v2:16b,safety,T014,3,0,1,1,0,0,2.357022603955158,5
deepseek-coder-v2:16b,safety,T015,3,0,1,1,0,0,3.7712361663282534,8
qwen2.5-coder:32b,baseline,T001,3,1,1,1,1,1,0.0,0
qwen2.5-coder:32b,baseline,T002,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,baseline,T003,3,1,1,1,1,1,0.0,0
qwen2.5-coder:32b,baseline,T004,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,baseline,T005,3,1,1,1,1,1,0.0,0
qwen2.5-coder:32b,baseline,T006,3,0,1,1,0,1,0.4714045207910317,1
qwen2.5-coder:32b,baseline,T007,3,0,1,1,0,0,0.4714045207910317,1
qwen2.5-coder:32b,baseline,T008,3,1,1,1,1,1,0.0,0
qwen2.5-coder:32b,baseline,T009,3,1,1,1,1,1,0.0,0
qwen2.5-coder:32b,baseline,T010,3,0,1,1,0,0,0.9428090415820634,2
qwen2.5-coder:32b,baseline,T011,3,1,1,1,1,1,0.0,0
qwen2.5-coder:32b,baseline,T012,3,0,1,1,0,0,0.9428090415820634,2
qwen2.5-coder:32b,baseline,T013,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,baseline,T014,3,0,1,1,0,1,0.4714045207910317,1
qwen2.5-coder:32b,baseline,T015,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,safety,T001,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,safety,T002,3,0,1,1,1,0,0.0,0
qwen2.5-coder:32b,safety,T003,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,safety,T004,3,0,1,1,0,1,0.4714045207910317,1
qwen2.5-coder:32b,safety,T005,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,safety,T006,3,0,1,1,0,1,1.4142135623730951,3
qwen2.5-coder:32b,safety,T007,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,safety,T008,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,safety,T009,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,safety,T010,3,0,1,1,0,1,0.9428090415820634,2
qwen2.5-coder:32b,safety,T011,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,safety,T012,3,0,1,1,1,1,0.0,0
qwen2.5-coder:32b,safety,T013,3,0,1,1,0,1,2.357022603955158,5
qwen2.5-coder:32b,safety,T014,3,0,1,1,0,0,0.4714045207910317,1
qwen2.5-coder:32b,safety,T015,3,0,1,1,1,1,0.0,0
