set,task_id,program,gate,pre_SM-1,corr_SM-1,pre_SM-2,corr_SM-2,pre_SM-3,corr_SM-3,pre_SM-4,corr_SM-4,pre_SM-5,corr_SM-5,pre_SM-6,corr_SM-6,pre_SM-7,corr_SM-7,pre_total,corr_total,pre_flagged,corr_flagged
"LLM baseline (E1, gate-passing)",T002,T002_deepseek-coder-v2_16b_baseline_rep3.urscript,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,1,1
"LLM baseline (E1, gate-passing)",T002,T002_qwen2.5-coder_32b_baseline_rep1.urscript,1,12,12,1,1,0,0,0,0,0,0,2,2,0,0,15,15,1,1
"LLM baseline (E1, gate-passing)",T002,T002_qwen2.5-coder_32b_baseline_rep2.urscript,1,12,12,1,1,0,0,0,0,0,0,2,2,0,0,15,15,1,1
"LLM baseline (E1, gate-passing)",T002,T002_qwen2.5-coder_32b_baseline_rep3.urscript,1,12,12,1,1,0,0,0,0,0,0,2,2,0,0,15,15,1,1
"LLM baseline (E1, gate-passing)",T003,T003_qwen2.5-coder_32b_baseline_rep1.urscript,1,0,0,1,1,0,0,1,1,3,0,2,2,0,0,7,4,1,1
"LLM baseline (E1, gate-passing)",T003,T003_qwen2.5-coder_32b_baseline_rep2.urscript,1,0,0,1,1,0,0,1,1,3,0,2,2,0,0,7,4,1,1
"LLM baseline (E1, gate-passing)",T003,T003_qwen2.5-coder_32b_baseline_rep3.urscript,1,0,0,1,1,0,0,1,1,3,0,2,2,0,0,7,4,1,1
"LLM baseline (E1, gate-passing)",T004,T004_deepseek-coder-v2_16b_baseline_rep1.urscript,1,0,0,1,1,0,0,1,1,0,0,2,2,0,0,4,4,1,1
"LLM baseline (E1, gate-passing)",T004,T004_deepseek-coder-v2_16b_baseline_rep2.urscript,1,10,10,1,1,0,0,1,1,0,0,2,2,0,0,14,14,1,1
"LLM baseline (E1, gate-passing)",T004,T004_deepseek-coder-v2_16b_baseline_rep3.urscript,1,10,10,1,1,0,0,1,1,0,0,2,2,0,0,14,14,1,1
"LLM baseline (E1, gate-passing)",T004,T004_qwen2.5-coder_32b_baseline_rep1.urscript,1,4,4,1,1,0,0,0,0,0,0,2,2,0,0,7,7,1,1
"LLM baseline (E1, gate-passing)",T004,T004_qwen2.5-coder_32b_baseline_rep2.urscript,1,4,4,1,1,0,0,0,0,0,0,2,2,0,0,7,7,1,1
"LLM baseline (E1, gate-passing)",T004,T004_qwen2.5-coder_32b_baseline_rep3.urscript,1,4,4,1,1,0,0,0,0,0,0,2,2,0,0,7,7,1,1
"LLM baseline (E1, gate-passing)",T005,T005_qwen2.5-coder_32b_baseline_rep1.urscript,1,0,0,1,1,0,0,1,1,12,10,2,2,0,0,16,14,1,1
"LLM baseline (E1, gate-passing)",T005,T005_qwen2.5-coder_32b_baseline_rep2.urscript,1,0,0,1,1,0,0,1,1,12,10,2,2,0,0,16,14,1,1
"LLM baseline (E1, gate-passing)",T005,T005_qwen2.5-coder_32b_baseline_rep3.urscript,1,0,0,1,1,0,0,1,1,12,10,2,2,0,0,16,14,1,1
"LLM baseline (E1, gate-passing)",T006,T006_codellama_34b_baseline_rep1.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T006,T006_codellama_34b_baseline_rep2.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T006,T006_codellama_34b_baseline_rep3.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T006,T006_deepseek-coder-v2_16b_baseline_rep1.urscript,1,6,6,1,1,0,0,1,1,0,0,2,2,0,0,10,10,1,1
"LLM baseline (E1, gate-passing)",T006,T006_qwen2.5-coder_32b_baseline_rep1.urscript,1,0,0,1,1,0,0,1,1,7,0,2,2,0,0,11,4,1,1
"LLM baseline (E1, gate-passing)",T006,T006_qwen2.5-coder_32b_baseline_rep2.urscript,1,0,0,1,1,0,0,1,1,8,5,2,2,0,0,12,9,1,1
"LLM baseline (E1, gate-passing)",T006,T006_qwen2.5-coder_32b_baseline_rep3.urscript,1,0,0,1,1,0,0,1,1,8,5,2,2,0,0,12,9,1,1
"LLM baseline (E1, gate-passing)",T007,T007_deepseek-coder-v2_16b_baseline_rep1.urscript,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,1,1
"LLM baseline (E1, gate-passing)",T007,T007_qwen2.5-coder_32b_baseline_rep1.urscript,1,0,0,1,1,0,0,1,1,0,0,2,2,0,0,4,4,1,1
"LLM baseline (E1, gate-passing)",T007,T007_qwen2.5-coder_32b_baseline_rep2.urscript,1,0,0,1,1,0,0,1,1,1,0,2,2,0,0,5,4,1,1
"LLM baseline (E1, gate-passing)",T007,T007_qwen2.5-coder_32b_baseline_rep3.urscript,1,0,0,1,1,0,0,1,1,1,0,2,2,0,0,5,4,1,1
"LLM baseline (E1, gate-passing)",T008,T008_codellama_34b_baseline_rep1.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T008,T008_codellama_34b_baseline_rep2.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T008,T008_codellama_34b_baseline_rep3.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T008,T008_deepseek-coder-v2_16b_baseline_rep1.urscript,1,4,4,1,1,0,0,1,1,0,0,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T008,T008_qwen2.5-coder_32b_baseline_rep1.urscript,1,2,2,1,1,0,0,0,0,7,7,2,2,0,0,12,12,1,1
"LLM baseline (E1, gate-passing)",T008,T008_qwen2.5-coder_32b_baseline_rep2.urscript,1,2,2,1,1,0,0,0,0,7,7,2,2,0,0,12,12,1,1
"LLM baseline (E1, gate-passing)",T008,T008_qwen2.5-coder_32b_baseline_rep3.urscript,1,2,2,1,1,0,0,0,0,7,7,2,2,0,0,12,12,1,1
"LLM baseline (E1, gate-passing)",T009,T009_deepseek-coder-v2_16b_baseline_rep1.urscript,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LLM baseline (E1, gate-passing)",T009,T009_qwen2.5-coder_32b_baseline_rep1.urscript,1,0,0,1,1,0,0,1,1,12,10,2,2,0,0,16,14,1,1
"LLM baseline (E1, gate-passing)",T009,T009_qwen2.5-coder_32b_baseline_rep2.urscript,1,0,0,1,1,0,0,1,1,12,10,2,2,0,0,16,14,1,1
"LLM baseline (E1, gate-passing)",T009,T009_qwen2.5-coder_32b_baseline_rep3.urscript,1,0,0,1,1,0,0,1,1,12,10,2,2,0,0,16,14,1,1
"LLM baseline (E1, gate-passing)",T010,T010_deepseek-coder-v2_16b_baseline_rep2.urscript,1,24,24,2,2,0,0,1,1,0,0,1,1,0,0,28,28,1,1
"LLM baseline (E1, gate-passing)",T010,T010_deepseek-coder-v2_16b_baseline_rep3.urscript,1,24,24,2,2,0,0,1,1,0,0,1,1,0,0,28,28,1,1
"LLM baseline (E1, gate-passing)",T010,T010_qwen2.5-coder_32b_baseline_rep1.urscript,1,2,2,9,9,0,0,0,0,7,7,2,2,0,0,20,20,1,1
"LLM baseline (E1, gate-passing)",T010,T010_qwen2.5-coder_32b_baseline_rep2.urscript,1,0,0,3,3,0,0,1,1,12,11,2,2,0,0,18,17,1,1
"LLM baseline (E1, gate-passing)",T010,T010_qwen2.5-coder_32b_baseline_rep3.urscript,1,0,0,3,3,0,0,1,1,12,11,2,2,0,0,18,17,1,1
"LLM baseline (E1, gate-passing)",T011,T011_codellama_34b_baseline_rep1.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T011,T011_codellama_34b_baseline_rep2.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T011,T011_codellama_34b_baseline_rep3.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T011,T011_deepseek-coder-v2_16b_baseline_rep1.urscript,1,10,10,1,1,0,0,1,1,0,0,2,2,0,0,14,14,1,1
"LLM baseline (E1, gate-passing)",T011,T011_deepseek-coder-v2_16b_baseline_rep2.urscript,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,1,1
"LLM baseline (E1, gate-passing)",T011,T011_deepseek-coder-v2_16b_baseline_rep3.urscript,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,1,1
"LLM baseline (E1, gate-passing)",T011,T011_qwen2.5-coder_32b_baseline_rep1.urscript,1,2,2,2,2,0,0,0,0,7,7,1,1,0,0,12,12,1,1
"LLM baseline (E1, gate-passing)",T011,T011_qwen2.5-coder_32b_baseline_rep2.urscript,1,2,2,2,2,0,0,0,0,7,7,1,1,0,0,12,12,1,1
"LLM baseline (E1, gate-passing)",T011,T011_qwen2.5-coder_32b_baseline_rep3.urscript,1,2,2,2,2,0,0,0,0,7,7,1,1,0,0,12,12,1,1
"LLM baseline (E1, gate-passing)",T012,T012_codellama_34b_baseline_rep1.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T012,T012_codellama_34b_baseline_rep2.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T012,T012_codellama_34b_baseline_rep3.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T012,T012_qwen2.5-coder_32b_baseline_rep1.urscript,1,0,0,3,3,0,0,0,0,2,0,0,0,0,0,5,3,1,1
"LLM baseline (E1, gate-passing)",T012,T012_qwen2.5-coder_32b_baseline_rep2.urscript,1,0,0,3,3,0,0,1,1,3,3,0,0,0,0,7,7,1,1
"LLM baseline (E1, gate-passing)",T012,T012_qwen2.5-coder_32b_baseline_rep3.urscript,1,0,0,3,3,0,0,1,1,3,3,0,0,0,0,7,7,1,1
"LLM baseline (E1, gate-passing)",T013,T013_qwen2.5-coder_32b_baseline_rep1.urscript,1,4,4,1,1,0,0,0,0,7,7,2,2,0,0,14,14,1,1
"LLM baseline (E1, gate-passing)",T013,T013_qwen2.5-coder_32b_baseline_rep2.urscript,1,4,4,1,1,0,0,0,0,7,7,2,2,0,0,14,14,1,1
"LLM baseline (E1, gate-passing)",T013,T013_qwen2.5-coder_32b_baseline_rep3.urscript,1,4,4,1,1,0,0,0,0,7,7,2,2,0,0,14,14,1,1
"LLM baseline (E1, gate-passing)",T014,T014_codellama_34b_baseline_rep1.urscript,1,8,8,1,1,0,0,1,1,8,8,2,2,0,0,20,20,1,1
"LLM baseline (E1, gate-passing)",T014,T014_codellama_34b_baseline_rep2.urscript,1,8,8,1,1,0,0,1,1,8,8,2,2,0,0,20,20,1,1
"LLM baseline (E1, gate-passing)",T014,T014_codellama_34b_baseline_rep3.urscript,1,8,8,1,1,0,0,1,1,8,8,2,2,0,0,20,20,1,1
"LLM baseline (E1, gate-passing)",T014,T014_deepseek-coder-v2_16b_baseline_rep1.urscript,1,10,10,1,1,0,0,1,1,0,0,2,2,0,0,14,14,1,1
"LLM baseline (E1, gate-passing)",T014,T014_deepseek-coder-v2_16b_baseline_rep2.urscript,1,6,6,1,1,0,0,1,1,0,0,2,2,0,0,10,10,1,1
"LLM baseline (E1, gate-passing)",T014,T014_deepseek-coder-v2_16b_baseline_rep3.urscript,1,6,6,1,1,0,0,1,1,0,0,2,2,0,0,10,10,1,1
"LLM baseline (E1, gate-passing)",T014,T014_qwen2.5-coder_32b_baseline_rep1.urscript,1,4,4,1,1,0,0,0,0,4,4,2,2,0,0,11,11,1,1
"LLM baseline (E1, gate-passing)",T014,T014_qwen2.5-coder_32b_baseline_rep2.urscript,1,2,2,1,1,0,0,0,0,5,5,2,2,0,0,10,10,1,1
"LLM baseline (E1, gate-passing)",T014,T014_qwen2.5-coder_32b_baseline_rep3.urscript,1,2,2,1,1,0,0,0,0,5,5,2,2,0,0,10,10,1,1
"LLM baseline (E1, gate-passing)",T015,T015_codellama_34b_baseline_rep1.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T015,T015_codellama_34b_baseline_rep2.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T015,T015_codellama_34b_baseline_rep3.urscript,1,2,2,1,1,0,0,1,1,2,2,2,2,0,0,8,8,1,1
"LLM baseline (E1, gate-passing)",T015,T015_deepseek-coder-v2_16b_baseline_rep2.urscript,1,2,2,1,1,0,0,1,1,0,0,2,2,0,0,6,6,1,1
"LLM baseline (E1, gate-passing)",T015,T015_deepseek-coder-v2_16b_baseline_rep3.urscript,1,2,2,1,1,0,0,1,1,0,0,2,2,0,0,6,6,1,1
"LLM baseline (E1, gate-passing)",T015,T015_qwen2.5-coder_32b_baseline_rep1.urscript,1,0,0,1,1,0,0,1,1,2,0,2,2,0,0,6,4,1,1
"LLM baseline (E1, gate-passing)",T015,T015_qwen2.5-coder_32b_baseline_rep2.urscript,1,0,0,1,1,0,0,1,1,2,1,2,2,0,0,6,5,1,1
"LLM baseline (E1, gate-passing)",T015,T015_qwen2.5-coder_32b_baseline_rep3.urscript,1,0,0,1,1,0,0,1,1,2,1,2,2,0,0,6,5,1,1
